年份,指标,均值,中位数,标准差,最小值,最大值,样本量
2019,ta,74769846024.33301,4133333821.83,939815900349.5253,41669364.22,30109436000000.0,3753
2019,te,12324899927.177979,2358676823.385,87159254642.61037,8641726.77,2692003000000.0,3714
2019,sloan,0.11346496820356544,0.0852160153214513,0.1076616114385848,0.0005534332748891,1.0,2911
2019,lloan,0.07236653743854296,0.04538306676707235,0.08080300201761337,9.160833140681367e-05,0.5874316767724921,2062
2019,top1,0.32885501465494266,0.302994,0.14705579343956024,0.030029,0.8823529999999999,3753
2019,hhi5_approx,3.638490454181869e-06,1.4422328649e-06,5.619071132915622e-06,2.22934761e-08,3.33336486609e-05,3767
2019,size,22.38143813345925,22.14235013907396,1.5276999444620012,17.54527674578284,31.03585972692826,3753
2019,age,11.997876294133263,10.0,8.204631656496678,1.0,30.0,3767
2020,lev,0.4316900924267661,0.4172505005827758,0.22478369457116584,0.0542494202526684,1.0,4195
2020,sl,0.33798454427563107,0.31400058947028586,0.18693306202606585,0.0430879437048485,1.0,4084
2020,ll,0.08682931965542004,0.0452358043533784,0.10847767101611853,0.0002668496475173,1.0,4007
2020,sdr,0.8193544449164949,0.8749060193007434,0.17200017770796042,0.2905989138106377,1.0,4084
2020,cash,0.08883334397133677,0.0369621237816238,0.11805689778597261,1.681580309719485e-05,0.8450379455768922,2390
2020,ta,75097420847.44124,3878853182.52,980459897975.663,13420893.22,33345058000000.0,4172
2020,te,12553196891.664297,2265013092.0600004,89950043967.42017,10131468.16,2909515000000.0,4130
2020,sloan,0.10338926711451342,0.0747097110770222,0.10574151349685676,0.000544134671408,1.0,3207
2020,lloan,0.07504362416360437,0.0467484207496016,0.08486040246184302,0.0003008408990891,0.594706020263307,2225
2020,top1,0.3240123753630203,0.299751,0.14759488841699647,0.028657,0.89991,4132
2020,hhi5_approx,3.484324558164666e-06,1.3467259322500003e-06,5.615983683858746e-06,1.70406916e-08,6.5593801e-05,4132
2020,size,22.358138763723204,22.078805360085386,1.526600080963012,16.41232324616023,31.13793069140252,4172
2020,age,11.782764382907615,10.0,8.573831206853935,1.0,31.0,4189
2021,lev,0.4301963050231269,0.4128396104723326,0.22312292986349114,0.0540769124219416,1.0,4701
